CODPROD;PRODUTO;UNID_MED;QTD_CX;EAN;NCM;CODCEST;MARCA;QTESTDISP;CUSTO_ULT_ENT;CUSTO_REAL;CUSTO_REP;PERC_IVA;MVA;PERC_ICMS;PERCPIS;PERCCOFINS;VLR_MARGEM_ZERO;PVENDA;PVENDAST;PERC_ST;QTD_VEN_MES_ATUAL;QTD_VEN_MES_ANT1;QTD_VEN_MES_ANT2;QTD_VEN_MES_ANT3;QTD_VEN_GIRODIA;DIASDISP;VALOR_ULT_ENT;CODEPTO;DEPARTAMENTO;CODSEC;SECAO;CODCATEGORIA;CATEGORIA;
10306;ACHOC ITALAC PO 400G;FD;24;7898080640673;18069000;1700600;ITALAC;60;3,18;3,18;3,98;21,25;17,81;12;1,65;7,6;4,11;4,89;4,99;2,09;8;32;25;112;1;1;3,98;2;MERCEARIA DOCE;201;ACHOCOLATADOS;5;TRADICIONAL
20885;ACHOC NESCAU PO LT CIL 200G;CX;24;7891000379585;18069000;1700600;NESTLE;1090;3,79;3,79;4,75;21,25;17,81;12;1,65;7,6;4,74;5,67;5,79;2,09;267;1205;2445;131;42;1;4,75;10008;FORNECEDORES ESPECIAIS;10098;NESTLÉ;15;TRADICIONAL
22374;ACHOC NESCAU PO LT FATOR CRESC 350G;CX;36;7891000412855;18069000;1700600;NESTLE;480;6,3;6,3;7,89;21,25;17,81;12;1,65;7,6;8,01;9;9,19;2,09;96;584;749;755;23;0;7,89;10008;FORNECEDORES ESPECIAIS;10098;NESTLÉ;15;TRADICIONAL
17811;ACHOC NESCAU PO SH 550G;CX;12;7891000338087;18069000;1700600;NESTLE;2259;9,14;9,37;11,13;21,25;17,81;12;1,65;7,6;13,34;13,11;13,39;2,09;84;609;712;396;19;9;12,97;10008;FORNECEDORES ESPECIAIS;10098;NESTLÉ;15;TRADICIONAL
23318;ACHOC NESCAU PO SH GTS50GPROMO 550G;CX;12;7891000426067;18069000;1700600;NESTLE;135;9,39;9,39;10,99;21,25;17,81;12;1,65;7,6;12,12;13,01;13,29;2,09;59;401;137;879;15;0;11,79;10008;FORNECEDORES ESPECIAIS;10098;NESTLÉ;15;TRADICIONAL
21223;ACHOC TODDY LIGHT PO SH 280G;CX;24;7892840822743;18069000;1700600;TODDY;10;6,31;6,31;7,9;21,25;17,81;12;1,65;7,6;6,81;9,36;9,56;2,09;0;18;9;28;0;0;7,9;10008;FORNECEDORES ESPECIAIS;10099;PEPSICO;8;LIGHT/DIET
5615;ACHOC TODDY ORIGINAL PO PT 200G;CX;24;7894321711171;18069000;1700600;TODDY;327;4,25;4,25;5,33;21,25;17,81;12;1,65;7,6;5,46;6,46;6,6;2,09;15;142;190;215;6;2;5,38;10008;FORNECEDORES ESPECIAIS;10099;PEPSICO;11;TRADICIONAL
17442;ACHOC TODDY ORIGINAL PO PT 370G;CX;24;7892840819507;18069000;1700600;TODDY;260;5,93;5,93;7,48;21,25;17,81;12;1,65;7,6;7,77;9;9,19;2,09;41;363;255;287;10;1;7,67;10008;FORNECEDORES ESPECIAIS;10099;PEPSICO;11;TRADICIONAL
16799;ACHOC TODDY ORIGINAL PO PT 750G;CX;12;7892840819170;18069000;1700600;TODDY;133;11,08;11,08;13,96;21,25;17,81;12;1,65;7,6;14,51;17,03;17,39;2,09;38;144;105;173;4;2;14,31;10008;FORNECEDORES ESPECIAIS;10099;PEPSICO;11;TRADICIONAL
1449;ACUCAR CARAVELAS REFINADO 1KG;FD;10;7896894900013;17019900;1709900;CARAVELAS;1446;2,2;2,22;2,52;7;;7;0;0;2,37;2,99;2,99;0;1522;3745;4517;2329;117;1;2,5;10006;ALTO GIRO;10079;ACUCAR;2;REFINADO
15468;ACUCAR DA BARRA DEMERARA 1KG;FD;10;7891910030309;17011400;1710300;DABARRA;4;3,22;2,85;3,22;12;12,67;12;0;0;3,22;3,93;3,99;1,5;2;478;212;117;8;0;3,22;10006;ALTO GIRO;10079;ACUCAR;1;ESPECIAL
966;ACUCAR GUARANI REFINADO 1KG;FD;10;7896109801005;17011400;1709900;GUARANI;2877;2,39;2,47;2,54;7;;7;0;0;2,45;2,99;2,99;0;903;3703;2930;3409;111;2;2,45;10006;ALTO GIRO;10079;ACUCAR;2;REFINADO
1689;ACUCAR UNIAO CRISTALCUCAR 1KG;FD;10;7891959014612;17019900;1710100;UNIAO;570;2,58;2,58;2,93;7;;7;0;0;2,93;3,49;3,49;0;111;593;191;408;13;4;2,93;10006;ALTO GIRO;10079;ACUCAR;2;REFINADO
4158;ACUCAR UNIAO DEMERARA NATU 1KG;FD;10;7891910020065;17011400;1710300;UNIAO;192;3,34;3,34;3,79;12;12,67;12;0;0;3,94;4,71;4,78;1,5;322;1075;311;478;20;0;3,79;10006;ALTO GIRO;10079;ACUCAR;1;ESPECIAL
1691;ACUCAR UNIAO DOCUCAR GRANU 1KG;FD;10;7891910007004;17019900;1709900;UNIAO;165;3,43;3,44;3,91;7;;7;0;0;3,25;4,79;4,79;0;12;65;37;154;2;5;3,9;10006;ALTO GIRO;10079;ACUCAR;2;REFINADO
1692;ACUCAR UNIAO GLACUCAR CONFEITEIRO 500G;FD;20;7891910007110;17019900;1710300;UNIAO;212;2,2;2,2;2,5;7;;7;0;0;2,06;2,99;2,99;0;2;85;23;50;1;6;2,5;10006;ALTO GIRO;10079;ACUCAR;2;REFINADO
1426;ACUCAR UNIAO REFINADO 1KG;FD;10;7891910000197;17019900;1709900;UNIAO;1312;3,27;2,91;3,17;7;;7;0;0;3,06;3,79;3,79;0;1591;3756;4033;3476;125;1;3,29;10006;ALTO GIRO;10079;ACUCAR;2;REFINADO
22867;ADESIVO ARALDITE MASSA BLISTER 50G;CX;12;7898543386384;35061090;;ARALDITE (TEKEBOND);87;3,09;2,99;3,74;21,25;;12;1,65;7,6;3,79;4,55;4,55;0;0;0;0;0;0;;3,74;10007;BAZAR;10087;BAZAR DIVERSOS;35;COLAS E FITAS ADESIVAS
22737;ADESIVO INSTANTANEO TEKBOND 793 BICO 20G;DP;10;7898904869853;35061010;;TEKBOND;17;4,55;4,55;5,3;21,25;;12;1,65;7,6;6,42;6,59;6,59;0;0;0;0;0;0;;5,8;10007;BAZAR;10087;BAZAR DIVERSOS;35;COLAS E FITAS ADESIVAS
1694;ADOCANTE ASSUGRIN LIQ 100ML;CX;12;7896569405737;21069090;;ASSUGRIN;136;2,02;1,97;2,47;21,25;;12;1,65;7,6;2,26;3,4;3,4;0;106;249;225;366;9;1;2,45;2;MERCEARIA DOCE;10090;SAUDÁVEIS/DIET/FIT;1;ADOÇANTE
1695;ADOCANTE ASSUGRIN LIQ 200ML;CX;12;7896569405744;21069090;;ASSUGRIN;110;3,74;3,66;4,56;21,25;;12;1,65;7,6;4,65;6,1;6,1;0;15;84;132;152;4;2;4,53;2;MERCEARIA DOCE;10090;SAUDÁVEIS/DIET/FIT;1;ADOÇANTE
22901;ADOCANTE TAL E QUAL 120G;CX;12;7896569405775;21069090;;TAL E QUAL (ASSUGRIN - ENOVA FOODS);4;9,44;9,42;11,8;21,25;;12;1,65;7,6;11,98;14,59;14,59;0;0;3;0;0;0;10;11,8;2;MERCEARIA DOCE;10090;SAUDÁVEIS/DIET/FIT;1;ADOÇANTE
1698;ADOCANTE UNIAO FIT MESA LIGHT 500G;CX;20;7891910020096;21069090;;UNIAO;121;2,3;2,3;2,88;21,25;;12;1,65;7,6;2,92;3,59;3,59;0;20;60;64;34;1;3;2,88;2;MERCEARIA DOCE;10090;SAUDÁVEIS/DIET/FIT;1;ADOÇANTE
1699;ADOCANTE ZERO CALL LIQ 100ML;CX;12;7896094910904;21069090;;ZERO CALL;208;4,71;4,73;5,91;21,25;;12;1,65;7,6;5,98;7,89;7,89;0;95;335;258;384;10;1;5,89;2;MERCEARIA DOCE;10090;SAUDÁVEIS/DIET/FIT;1;ADOÇANTE
1700;ADOCANTE ZERO CALL LIQ 200ML;CX;12;7896094910959;21069090;;ZERO CALL;82;7,77;8,1;9,89;21,25;;12;1,65;7,6;9,86;14,5;14,5;0;13;94;49;214;3;1;9,73;2;MERCEARIA DOCE;10090;SAUDÁVEIS/DIET/FIT;1;ADOÇANTE
12039;AGUA COCO MAGUARY PURO COCO TP 180ML;CX;27;7896000593764;20098921;1701100;PURO COCO;129;1,23;1,23;1,54;21,25;31,83;12;1,65;7,6;1,33;1,91;1,98;3,68;1;86;68;125;3;1;1,54;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
12026;AGUA COCO MAGUARY PURO COCO TP 1L;CX;12;7896000593672;20098921;1701100;PURO COCO;55;4,33;4,33;5,42;21,25;31,83;12;1,65;7,6;5,49;7,21;7,49;3,68;0;0;107;60;1;2;5,42;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
23145;AGUA COCO MAIS COCO TP 200ML;CX;24;7896004401836;20098921;1701100;MAIS COCO (SOCOCO);110;1,28;1,28;1,61;21,25;31,83;12;1,65;7,6;1,63;2,08;2,16;3,68;30;40;0;0;0;10;1,61;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
23149;AGUA COCO SOCOCO MAIS FRUTAS VERM 200ML;CX;24;7896004402116;20098921;1701100;SOCOCO;70;0,58;0,58;0,8;21,25;31,83;12;1,65;7,6;1,09;1,11;1,15;3,68;25;32;248;28;3;0;1,08;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
23147;AGUA COCO SOCOCO MAIS MARACUJA 200ML;CX;24;7896004401652;20098921;1701100;SOCOCO;58;0,58;0,58;0,8;21,25;31,83;12;1,65;7,6;1,09;1,11;1,15;3,68;31;35;230;57;3;0;1,08;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
23148;AGUA COCO SOCOCO MAIS MELANCIA 200ML;CX;24;7896004402109;20098921;1701100;SOCOCO;59;0,58;0,58;0,8;21,25;31,83;12;1,65;7,6;1,09;1,11;1,15;3,68;31;21;237;44;3;0;1,08;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
23146;AGUA COCO SOCOCO MAIS TANGERINA 200ML;CX;24;7896004401041;20098921;1701100;SOCOCO;30;0,58;0,58;0,8;21,25;31,83;12;1,65;7,6;1,09;1,11;1,15;3,68;1;27;125;23;1;0;1,08;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
23150;AGUA COCO SOCOCO MAIS UVA 200ML;CX;24;7896004402093;20098921;1701100;SOCOCO;30;0,58;0,58;0,8;21,25;31,83;12;1,65;7,6;1,09;1,11;1,15;3,68;60;37;219;32;3;0;1,08;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
5772;AGUA DE COCO SOCOCO 200ML;CX;24;7896004400358;20098921;1701100;SOCOCO;302;1,64;1,8;2,25;21,25;31,83;12;1,65;7,6;2,57;3,07;3,19;3,68;2;64;210;117;4;2;2,05;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
5773;AGUA DE COCO SOCOCO TP 1L;CX;12;7896004401409;20098921;1701100;SOCOCO;80;7,19;7,09;8,87;21,25;31,83;12;1,65;7,6;9,13;10,59;10,99;3,68;15;61;78;50;2;3;9;10005;BEBIDAS;10067;HIDRATAÇÃO;2;ÁGUA DE COCO
2670;AGUA MIN ATTIVA S/GAS PET 510ML;FD;12;7898917308240;22011000;0300504;ATTIVA;3;0,55;0,55;0,62;12;;12;0;0;0,49;0,89;0,89;0;0;0;0;0;0;;0,72;10005;BEBIDAS;10067;HIDRATAÇÃO;3;ÁGUA SEM GÁS
18867;AGUA MIN PASSA QUATRO C/GAS PET 2L;FD;6;7896984220069;22011000;0300504;PASSA QUATRO;1;2,14;2,14;2,43;12;;12;0;0;2,1;3,09;3,09;0;0;240;524;356;12;0;2,43;10005;BEBIDAS;10067;HIDRATAÇÃO;1;ÁGUA COM GÁS
19212;AGUA MIN PASSA QUATRO C/GAS PET 510ML;FD;12;7896984205103;22011000;0300504;PASSA QUATRO;37;0,98;0,98;1,12;12;;12;0;0;1,02;1,49;1,49;0;25;222;274;206;7;0;1,12;10005;BEBIDAS;10067;HIDRATAÇÃO;1;ÁGUA COM GÁS
18663;AGUA MIN PASSA QUATRO S/GAS PET 1,5L;FD;6;7896984215027;22011000;0300504;PASSA QUATRO;2;1,29;1,29;1,47;12;;12;0;0;1,27;1,89;1,89;0;0;592;1322;910;31;0;1,47;10005;BEBIDAS;10067;HIDRATAÇÃO;3;ÁGUA SEM GÁS
